title,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
She Will Be Loved,Maroon 5,0.524,0.711,0,-5.494,0.0405,0.0567,0.0,0.134,0.539,203.867
Release Me,Agnes,0.621,0.923,2,-3.124,0.0321,0.00645,7.28e-05,0.108,0.716,127.973
Bad Romance,Lady Gaga,0.695,0.919,0,-3.769,0.0381,0.00264,4.1e-05,0.062,0.717,119.002
Poker Face,Lady Gaga,0.851,0.806,4,-4.618,0.0788,0.12,1.39e-06,0.122,0.775,119.002
Toxic,Britney Spears,0.774,0.838,5,-3.914,0.114,0.0249,0.0244,0.242,0.924,143.04
Just Dance,"Lady Gaga, Colby O'Donis",0.821,0.741,1,-4.57,0.0313,0.0278,2.51e-05,0.19,0.741,118.984
Chasing Pavements,Adele,0.614,0.47,5,-6.09,0.0255,0.291,0.0,0.111,0.329,80.045
Survivor,Destiny'S Child,0.514,0.911,1,-2.027,0.41,0.0559,0.0,0.775,0.619,161.109
Telephone,"Lady Gaga, Beyoncé",0.825,0.832,5,-5.853,0.0403,0.00587,0.000789,0.114,0.713,122.021
The Scientist,Coldplay,0.572,0.419,5,-7.991,0.024,0.737,1.5e-05,0.11,0.209,146.409
Say My Name,Destiny'S Child,0.522,0.676,5,-3.571,0.16,0.274,0.0,0.134,0.746,67.427
"You'Re The One That I Want - From ""Grease"" Original Motion Picture Soundtrack","John Travolta, Olivia Newton-John",0.762,0.608,0,-11.36,0.0644,0.294,0.00148,0.117,0.841,106.931
Let Me Entertain You,Robbie Williams,0.478,0.965,10,-5.022,0.0642,0.000169,0.00251,0.0854,0.347,125.152
Summer Nights - From “Grease” Soundtrack,"John Travolta, Olivia Newton-John",0.747,0.657,2,-9.449,0.0548,0.641,1.76e-05,0.0874,0.657,124.324
Greased Lightnin' - From “Grease” Soundtrack,"John Travolta, Jeff Conaway",0.581,0.86,8,-10.651,0.0976,0.133,0.0336,0.0694,0.938,159.941
"Hopelessly Devoted To You - From ""Grease"" Original Motion Picture Soundtrack",Olivia Newton-John,0.282,0.342,11,-13.064,0.0364,0.295,0.0159,0.121,0.325,73.874
Jolene,Dolly Parton,0.674,0.537,1,-10.971,0.0363,0.566,0.0,0.131,0.809,110.578
Lippenstift,"Marco Borsato, Snelle, John Ewbank",0.711,0.613,5,-5.374,0.0535,0.0572,2.98e-06,0.203,0.703,95.017
Hoe Het Danst,"Marco Borsato, Armin Van Buuren, Davina Michelle",0.686,0.86,4,-3.358,0.0517,0.0597,0.0,0.19,0.417,130.027
Zo Kan Het Dus Ook,Maan,0.579,0.671,6,-5.901,0.119,0.57,0.0,0.217,0.842,91.764
Zij Weet Het - Studio Versie,Tino Martin,0.691,0.55,2,-8.318,0.0272,0.15,0.0,0.461,0.338,94.996
On Top Of The World,Imagine Dragons,0.631,0.924,0,-5.589,0.146,0.0841,3.59e-06,0.084,0.755,100.045
Narcotic,"Younotus, Janieck, Senex",0.749,0.668,10,-5.964,0.0608,0.0373,0.000272,0.045,0.366,108.0
Call You Mine,"The Chainsmokers, Bebe Rexha",0.591,0.702,7,-5.59,0.0289,0.225,0.0,0.414,0.501,104.003
Leave A Light On,Tom Walker,0.586,0.624,5,-5.946,0.113,0.0153,1.78e-06,0.133,0.267,68.976
Love Myself,Hailee Steinfeld,0.617,0.759,0,-6.785,0.0678,0.0026,0.0,0.419,0.324,122.924
I Will Survive - Single Version,Gloria Gaynor,0.75,0.897,9,-4.487,0.095,0.115,0.00218,0.355,0.61,115.943
Unsteady,X Ambassadors,0.389,0.665,0,-6.169,0.0644,0.178,0.000732,0.116,0.199,117.055
"Listen (From The Motion Picture ""Dreamgirls"")",Beyoncé,0.48,0.588,11,-5.222,0.0426,0.251,0.0,0.166,0.178,122.214
Somebody To Love,Queen,0.466,0.698,8,-6.967,0.0629,0.164,0.0,0.127,0.349,109.772
Praying,Kesha,0.543,0.39,10,-7.202,0.0322,0.489,0.0,0.111,0.303,73.415
Make It Shine (Victorious Theme) (Feat. Victoria Justice),"Victorious Cast, Victoria Justice",0.53,0.931,5,-3.006,0.0521,0.000212,0.0,0.0805,0.491,137.008
Over You,Daughtry,0.423,0.922,3,-2.6,0.0411,0.017,0.0,0.102,0.567,156.046
Fast Car,"Jonas Blue, Dakota",0.459,0.587,9,-6.983,0.0785,0.453,0.0,0.307,0.581,113.901
Despacito,"Luis Fonsi, Daddy Yankee",0.655,0.797,2,-4.787,0.153,0.198,0.0,0.067,0.839,177.928
What Makes You Beautiful,One Direction,0.726,0.787,4,-2.494,0.0737,0.009,0.0,0.0596,0.888,124.99
"C'Mon, C'Mon",One Direction,0.64,0.941,5,-4.008,0.0893,0.0123,0.0,0.305,0.761,142.905
Voor Je Deur,Snelle,0.469,0.552,4,-9.044,0.469,0.0403,0.0,0.0732,0.186,75.611
Used To Love (With Dean Lewis),"Martin Garrix, Dean Lewis",0.651,0.693,4,-4.722,0.0375,0.458,0.0,0.335,0.392,118.97
Uncharted,Kensington,0.594,0.527,10,-6.805,0.0308,0.14,0.0,0.294,0.226,138.956
Good As Hell (Feat. Ariana Grande) - Remix,"Lizzo, Ariana Grande",0.668,0.892,5,-3.001,0.0645,0.298,0.0,0.735,0.478,95.927
Instagram,"Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, Natti Natasha, Dimitri Vegas, Like Mike",0.765,0.906,8,-2.097,0.0965,0.125,0.0,0.423,0.95,96.071
Own It (Feat. Ed Sheeran & Burna Boy),"Stormzy, Burna Boy, Ed Sheeran",0.817,0.781,7,-4.178,0.112,0.00838,5.21e-06,0.123,0.359,104.0
I'M A Mess,Ed Sheeran,0.697,0.377,3,-7.755,0.0397,0.556,0.0,0.0999,0.336,138.754
Sing,Ed Sheeran,0.818,0.67,8,-4.451,0.0472,0.304,1.22e-06,0.0601,0.939,119.988
Dive,Ed Sheeran,0.761,0.386,4,-6.158,0.0399,0.355,0.0,0.0953,0.526,134.943
Supermarket Flowers,Ed Sheeran,0.589,0.242,6,-10.517,0.0442,0.914,0.0,0.0887,0.257,89.749
What Do I Know?,Ed Sheeran,0.838,0.492,1,-5.69,0.038,0.251,0.0,0.262,0.895,115.092
Barcelona,Ed Sheeran,0.747,0.76,1,-4.294,0.187,0.448,0.0,0.153,0.682,99.975
Lover (Remix) [Feat. Shawn Mendes],"Taylor Swift, Shawn Mendes",0.448,0.603,7,-7.176,0.064,0.433,0.0,0.0862,0.422,205.272
Under The Bridge,Red Hot Chili Peppers,0.559,0.345,4,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581
Stone Cold,Demi Lovato,0.419,0.453,8,-7.685,0.0437,0.539,0.0,0.0971,0.356,140.327
Crying In The Club,Camila Cabello,0.334,0.617,6,-5.834,0.383,0.334,0.0,0.163,0.603,85.227
22,Taylor Swift,0.661,0.729,7,-6.561,0.0376,0.00215,0.0013,0.0477,0.668,103.987
Bad Blood,"Taylor Swift, Kendrick Lamar",0.654,0.655,11,-7.388,0.106,0.0294,0.0,0.139,0.221,170.16
